"Barcode","Area","AreaPerDay","InitialSize","MeanVariance","Round","Replicate","Clover","Rhizobium","NS","EW","n.stolons","weight","growth_per_day","EndSize","HasChangedColor","Measurements","HueRate","StartHue","TimeToGreen"
"1","1801",857040.15,57854.7042857143,23177.9,3274.40283809339,1,1,"Clfin_0751","SM163A",40,1,4,33.42,0.642692307692308,201499,TRUE,43,0.617361121860513,67.8917018546595,11
"2","1802",739481.55,52171.0228571428,27697.8,2264.75394728121,1,1,"Ccyma_0955","SM125",39,1,4,29.1,0.559615384615385,207581,TRUE,45,0.917271001472242,66.1904642567892,8
"3","1803",518211.75,45488.2142857143,16197,2592.77493975983,1,1,"Aearl_0749","SM163A",38,1,4,26.45,0.508653846153846,194494,TRUE,45,0.855288687422643,65.3631627223703,9
"4","1804",872607.45,58273.9342857143,31594.9,2619.79120640926,1,1,"Volin_0203","SM85",37,1,4,36.85,0.708653846153846,189870,TRUE,45,0.861135152674704,66.3811333116189,9
"5","1805",97221.3,5569.88648648649,8957.9,1038.24984539726,1,2,"Aearl_0411","SM147A",36,1,4,5.59,0.133095238095238,43963,FALSE,38,-0.234908500884213,72.5758470548128,19
"6","1806",551157.85,38708.4959459459,28981.8,3067.00150255028,1,2,"Rbani_0957","SM140A",35,1,4,23.33,0.55547619047619,162575.5,TRUE,38,0.464577798835666,65.6028049347111,20
"7","1807",814816.5,56705.8333333333,24815.5,3299.73652284483,1,1,"Aalon_0617","SM128A",34,1,4,36.74,0.706538461538462,164888.5,TRUE,43,0.92033841855491,66.7915176806021,9
"8","1808",329282.65,27760.3013513514,5242.2,1529.75549890896,1,2,"Aearl_0749","SM130A",33,1,4,10.77,0.256428571428571,120319,FALSE,38,-0.196533044726048,73.716521967775,16
"9","1809",604675.25,39653.5256756757,12666.3,3306.56632821013,1,2,"Aaran_0413","SM42",32,1,4,40.02,0.784705882352941,149480.5,TRUE,47,0.601556692877546,60.9683749897051,4
"10","1810",84249.35,10303.4716216216,3632.4,1610.65060712862,1,2,"Volin_0102","SM42",31,1,4,10.55,0.206862745098039,123755.5,TRUE,47,0.663195395235569,55.1527143520308,3
"11","1811",899811.15,61593.0954545455,34708.4,3449.15155599769,1,1,"Ccyma_0102","MIX",30,1,4,30.82,0.592692307692308,177502.5,TRUE,43,1.02458303145346,69.04987941835,8
"12","1812",1090025.7,72878.3147058824,29368.9,2949.95101064978,1,1,"Clfin_0858","SM59",29,1,4,35.21,0.677115384615385,212583.5,TRUE,44,0.944473252985101,66.5508559936864,8
