Name,NS,EW
1801,40,1
1802,39,1
1803,38,1
1804,37,1
1805,36,1
1806,35,1
1807,34,1
1808,33,1
1809,32,1
1810,31,1
1811,30,1
1812,29,1
1813,28,1
1814,27,1
1815,26,1
1816,25,1
1817,24,1
1818,23,1
1819,22,1
1820,21,1
1821,40,2
1822,39,2
1823,38,2
1824,37,2
1825,36,2
1826,35,2
1827,34,2
1828,33,2
1829,32,2
1830,31,2
1831,30,2
1832,29,2
1833,28,2
1834,27,2
1835,26,2
1836,25,2
1837,24,2
1838,23,2
1839,22,2
1840,21,2
1841,40,3
1842,39,3
1843,38,3
1844,37,3
1845,36,3
1846,35,3
1847,34,3
1848,33,3
1849,32,3
1850,31,3
1851,30,3
1852,29,3
1853,28,3
1854,27,3
1855,26,3
1856,25,3
1857,24,3
1858,23,3
1859,22,3
1860,21,3
1861,40,4
1862,39,4
1863,38,4
1864,37,4
1865,36,4
1866,35,4
1867,34,4
1868,33,4
1869,32,4
1870,31,4
1871,30,4
1872,29,4
1873,28,4
1874,27,4
1875,26,4
1876,25,4
1877,24,4
1878,23,4
1879,22,4
1880,21,4
1881,40,5
1882,39,5
1883,38,5
1884,37,5
1885,36,5
1886,35,5
1887,34,5
1888,33,5
1889,32,5
1890,31,5
1891,30,5
1892,29,5
1893,28,5
1894,27,5
1895,26,5
1896,25,5
1897,24,5
1898,23,5
1899,22,5
1900,21,5
1901,40,6
1902,39,6
1903,38,6
1904,37,6
1905,36,6
1906,35,6
1907,34,6
1908,33,6
1909,32,6
1910,31,6
1911,30,6
1912,29,6
1913,28,6
1914,27,6
1915,26,6
1916,25,6
1917,24,6
1918,23,6
1919,22,6
1920,21,6
1921,40,7
1922,39,7
1923,38,7
1924,37,7
1925,36,7
1926,35,7
1927,34,7
1928,33,7
1929,32,7
1930,31,7
1931,30,7
1932,29,7
1933,28,7
1934,27,7
1935,26,7
1936,25,7
1937,24,7
1938,23,7
1939,22,7
1940,21,7
1941,40,8
1942,39,8
1943,38,8
1944,37,8
1945,36,8
1946,35,8
1947,34,8
1948,33,8
1949,32,8
1950,31,8
1951,30,8
1952,29,8
1953,28,8
1954,27,8
1955,26,8
1956,25,8
1957,24,8
1958,23,8
1959,22,8
1960,21,8
1961,40,9
1962,39,9
1963,38,9
1964,37,9
1965,36,9
1966,35,9
1967,34,9
1968,33,9
1969,32,9
1970,31,9
1971,30,9
1972,29,9
1973,28,9
1974,27,9
1975,26,9
1976,25,9
1977,24,9
1978,23,9
1979,22,9
1980,21,9
1981,40,10
1982,39,10
1983,38,10
1984,37,10
1985,36,10
1986,35,10
1987,34,10
1988,33,10
1989,32,10
1990,31,10
1991,30,10
1992,29,10
1993,28,10
1994,27,10
1995,26,10
1996,25,10
1997,24,10
1998,23,10
1999,22,10
2000,21,10
2001,40,11
2002,39,11
2003,38,11
2004,37,11
2005,36,11
2006,35,11
2007,34,11
2008,33,11
2009,32,11
2010,31,11
2011,30,11
2012,29,11
2013,28,11
2014,27,11
2015,26,11
2016,25,11
2017,24,11
2018,23,11
2019,22,11
2020,21,11
2021,40,12
2022,39,12
2023,38,12
2024,37,12
2025,36,12
2026,35,12
2027,34,12
2028,33,12
2029,32,12
2030,31,12
2031,30,12
2032,29,12
2033,28,12
2034,27,12
2035,26,12
2036,25,12
2037,24,12
2038,23,12
2039,22,12
2040,21,12
2041,40,13
2042,39,13
2043,38,13
2044,37,13
2045,36,13
2046,35,13
2047,34,13
2048,33,13
2049,32,13
2050,31,13
2051,30,13
2052,29,13
2053,28,13
2054,27,13
2055,26,13
2056,25,13
2057,24,13
2058,23,13
2059,22,13
2060,21,13
2061,40,14
2062,39,14
2063,38,14
2064,37,14
2065,36,14
2066,35,14
2067,34,14
2068,33,14
2069,32,14
2070,31,14
2071,30,14
2072,29,14
2073,28,14
2074,27,14
2075,26,14
2076,25,14
2077,24,14
2078,23,14
2079,22,14
2080,21,14
2081,40,15
2082,39,15
2083,38,15
2084,37,15
2085,36,15
2086,35,15
2087,34,15
2088,33,15
2089,32,15
2090,31,15
2091,30,15
2092,29,15
2093,28,15
2094,27,15
2095,26,15
2096,25,15
2097,24,15
2098,23,15
2099,22,15
2100,21,15
2101,40,16
2102,39,16
2103,38,16
2104,37,16
2105,36,16
2106,35,16
2107,34,16
2108,33,16
2109,32,16
2110,31,16
2111,30,16
2112,29,16
2113,28,16
2114,27,16
2115,26,16
2116,25,16
2117,24,16
2118,23,16
2119,22,16
2120,21,16
2121,40,17
2122,39,17
2123,38,17
2124,37,17
2125,36,17
2126,35,17
2127,34,17
2128,33,17
2129,32,17
2130,31,17
2131,30,17
2132,29,17
2133,28,17
2134,27,17
2135,26,17
2136,25,17
2137,24,17
2138,23,17
2139,22,17
2140,21,17
2141,40,18
2142,39,18
2143,38,18
2144,37,18
2145,36,18
2146,35,18
2147,34,18
2148,33,18
2149,32,18
2150,31,18
2151,30,18
2152,29,18
2153,28,18
2154,27,18
2155,26,18
2156,25,18
2157,24,18
2158,23,18
2159,22,18
2160,21,18
2161,40,19
2162,39,19
2163,38,19
2164,37,19
2165,36,19
2166,35,19
2167,34,19
2168,33,19
2169,32,19
2170,31,19
2171,30,19
2172,29,19
2173,28,19
2174,27,19
2175,26,19
2176,25,19
2177,24,19
2178,23,19
2179,22,19
2180,21,19
2181,40,20
2182,39,20
2183,38,20
2184,37,20
2185,36,20
2186,35,20
2187,34,20
2188,33,20
2189,32,20
2190,31,20
2191,30,20
